FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
118271.txt,https://www.dcexpo.jp,20,www.dcexpo.jp,13,0,jp,100.0,1.0,0.0230451,0.04703068,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,471,438,1,dcexpo,100.0,100.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,23,3,5,23,0,29,1
623790.txt,https://www.fieldsmotorcarsorlando.com,37,www.fieldsmotorcarsorlando.com,30,0,com,100.0,1.0,0.5229071,0.066921829,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,3046,51162,1,fieldsmotorcarsorlando,100.0,100.0,1,1,0,1,0,1,0,8,0,1,1,1,0,0,1,1,0,45,32,63,129,31,31,1
8003521.txt,https://3483a367-cc75-4dfe-b54b-0403ed0dd8fe.id.repl.co/index1.html,66,3483a367-cc75-4dfe-b54b-0403ed0dd8fe.id.repl.co,47,0,co,24.00076606,0.204545455,0.0059772,0.03234982,2,2,0,0,0.0,30,0.455,19,0.288,0,0,0,9,0.136,1,198,869,1,3483a367-cc75-4dfe-b54b-0403ed0dd8feidreplindex1htm,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
545692.txt,https://www.giantsteparts.org,28,www.giantsteparts.org,21,0,org,100.0,1.0,0.0799628,0.06197565,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,841,12470,1,giantsteparts,100.0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,2,12,40,1,5,1
35168.txt,https://www.edwardsaquifer.org,29,www.edwardsaquifer.org,22,0,org,100.0,1.0,0.0799628,0.054313187,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,2543,9985,1,edwardsaquifer,100.0,100.0,0,1,1,0,0,1,0,10,0,1,1,0,0,0,1,0,1,33,26,41,228,3,262,1
584755.txt,https://www.ibeani.co.uk,23,www.ibeani.co.uk,16,0,uk,100.0,0.777777778,0.028555,0.065006937,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,2625,3976,1,0,0.0,0.0,1,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,64,69,20,137,0,23,1
8000853.txt,https://francemsgcabc5.firebaseapp.com/,38,francemsgcabc5.firebaseapp.com,30,0,com,59.01075269,0.576923077,0.5229071,0.057934443,3,1,0,0,0.0,27,0.711,1,0.026,0,0,0,2,0.053,1,108,8125,1,francemsgcabc5firebaseapp,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
249951.txt,https://www.yazula.com,21,www.yazula.com,14,0,com,100.0,1.0,0.5229071,0.053934117,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,262,297,1,yazula,100.0,100.0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,2,8,29,1,6,1
mw78840.txt,http://www.isawesome.net,23,www.isawesome.net,17,0,net,78.0952381,1.0,0.0384199,0.068837921,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,9,76,1,isawesome,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
242689.txt,https://www.skourasrealestate.gr,31,www.skourasrealestate.gr,24,0,gr,100.0,1.0,0.0016589,0.06309497,2,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,2235,10004,1,skourasrealestate,100.0,100.0,1,1,1,0,0,1,0,22,0,1,1,1,0,0,0,0,1,142,28,31,276,7,69,1
